Title,Family,Synonyms,Common Names,Origin,Growth Habit,Earliest Record,Tool Used For Assessment,Predictive Tool Score,North,Central,South,Assessment Dates,Counties,Questionnaires
Pteris vittata,Pteridaceae,,Chinese ladder brake fern,"Africa, Asia Temperate, Asia Tropical, Australasia, Europe, Pacific",Forb/Herb,1921,Status Assessment,N/A,Not a problem species (documented),Invasive (No Uses),Invasive (No Uses),1-Jan-06,44,
Ptychosperma elegans,Arecaceae,,Solitary palm,Australasia,Tree,1969,Status Assessment,N/A,Not a problem species (un-documented),Caution,Caution,"Jan 1, 2006Jan 1, 2012",2,
Ptychosperma macarthurii,Arecaceae,,"Macarthur feather palm, Macarthur palm, Macarthur's palm","Asia Tropical, Australasia",Tree,1959,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Jan 19, 2017",1,
Pueraria montana var lobata,Fabaceae,Pueraria lobata,Kudzu,"Asia Temperate, Asia Tropical, Pacific",Vine,1937,,17,High Invasion Risk,High Invasion Risk,High Invasion Risk,,0,
Pyracantha coccinea,Rosaceae,,Scarlet firethorn,"Asia Temperate, Europe",Shrub,1909,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Nov 30, 2016",0,
Pyracantha koidzumii,Rosaceae,,"Formosa firethorn, red berry fire thorn",Asia Temperate,Shrub,1958,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Jan 19, 2017",20,
Pyrostegia venusta,Bignoniaceae,,"Flameflower, flamevine, flamingotrumpet",South America,Vine,1966,Status Assessment,8,Not a problem species (un-documented),Not a problem species (documented),Not a problem species (un-documented),"Jan 1, 2007Mar 20, 2017",11,
Pyrus calleryana,Rosaceae,,"Callery pear, Bradford pear","Asia Temperate, Asia Tropical",Tree,,Predictive Tool,13,High Invasion Risk,High Invasion Risk,High Invasion Risk,5-Jun-18,0,
Quercus acutissima,Fagaceae,,Sawtooth Oak,"Asia Temperate, Asia Tropical",Tree,,Predictive Tool,2,Evaluate Further,Evaluate Further,Evaluate Further,20-Mar-14,0,
Ranunculus muricatus,Ranunculaceae,,Spinyfruit buttercup,"Africa, Asia Temperate, Asia Tropical, Europe",Forb/Herb,1996,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Nov 30, 2016",6,
Ranunculus parviflorus,Ranunculaceae,,Smallflower buttercup,"Africa, Europe",Forb/Herb,1898,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Nov 30, 2016",7,
Raphiolepis indica,Rosaceae,,Indian hawthorn,"Asia Temperate, Asia Tropical",Shrub,,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 21, 2015",0,
Rhododendron obtusum,Ericaceae,,Kurume azalea,Asia Temperate,Shrub,1997,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 21, 2015",0,
Rhododendron simsii,Ericaceae,,Formosa azalea,"Asia Temperate, Asia Tropical",Shrub,1993,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 21, 2015",0,
Rhodomyrtus tomentosa,Myrtaceae,,Downy rose-myrtle,"Asia Temperate, Asia Tropical","Shrub, Tree",1893,,N/A,Prohibited,Prohibited,Prohibited,,15,
Richardia brasiliensis,Rubiaceae,,Tropical Mexican clover,South America,Forb/Herb,1925,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),1-Jan-07,59,
Richardia grandiflora,Rubiaceae,,Largeflower Mexican clover,South America,Forb/Herb,1967,Status Assessment,N/A,Caution,Caution,Caution,"Jan 1, 2007Jan 1, 2012",25,
Richardia scabra,Rubiaceae,,"Florida purslane, pursley, rough Mexican clover","Central America, North America-Mexico, South America",Forb/Herb,1919,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Jan 19, 2017",47,
Ricinus communis,Euphorbiaceae,,Castorbean,Unknown,"Shrub, Subshrub, Tree",,Predictive Tool,24,High Invasion Risk,High Invasion Risk,High Invasion Risk,"Jan 1, 2005Jan 1, 2009",29,
Robinia pseudoacacia,Fabaceae,,"Black locust, common locust, false acacia, yellow locust",Unknown,Tree,1957,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),1-Jan-07,14,
Rosa multiflora,Rosaceae,,"Baby rose, Japanese rose, multiflora rose",Asia Temperate,"Shrub, Subshrub",,Predictive Tool,22,High Invasion Risk,High Invasion Risk,High Invasion Risk,6-Apr-17,5,
Rotala rotundifolia,Lythraceae,,"Dwarf rotala, roundleaf toothcup","Asia Temperate, Asia Tropical",Aquatic,1896,Status Assessment,N/A,Caution,Caution,Caution,"Jan 1, 2007Jan 1, 2011",5,
Rottboellia cochinchinensis,Poaceae,,Itchgrass,"Africa, Asia Temperate, Asia Tropical, Australasia",Graminoid,1959,,N/A,Prohibited,Prohibited,Prohibited,,28,
Rubus fruticosus,Rosaceae,"Rubus discolor, Rubus armeniacus, Rubus procerus, Rubus macrostemon, Rubus thysanthus, Rubus plicatus",Himalayan blackberry,Europe,Shrub,,,29,High Invasion Risk,High Invasion Risk,High Invasion Risk,20-Mar-14,0,
Rubus moluccanus,Rosaceae,,"Wild raspberry, Molucca bramble","Asia Tropical, Australasia, Pacific",Shrub,,,N/A,Prohibited,Prohibited,Prohibited,,0,
Rubus niveus,Rosaceae,Rubus albescens,Snowpeaks raspberry,"Asia Temperate, Asia Tropical",Subshrub,1998,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (documented),20-Jul-17,1,
Ruellia blechum,Acanthaceae,Blechum pyramidatum,"Browne's blechum, green shrimp plant, green shrimp plant","Asia Temperate, Asia Tropical, Pacific",Forb/Herb,1941,Status Assessment,N/A,Caution,Caution,Caution,"Jan 1, 2007Jan 1, 2012",26,
Ruellia ciliatiflora,Acanthaceae,Ruellia lorentziana,Hairyflower wild petunia,South America,Forb/Herb,1953,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Jul 20, 2017",4,
Ruellia makoyana,Acanthaceae,Ruellia devosiana hort.,Monkey plant,"Central America, South America",Forb/Herb,1938,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 21, 2015",0,
Ruellia malacosperma ,Acanthaceae,Ruellia simplex,"Softseed wild petunia, softweed wild petunia","Central America, North America-Mexico, South America",Forb/Herb,1965,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Jun 25, 2018",0,
Ruellia simplex,Acanthaceae,"Ruellia tweediana, Ruellia brittoniana, Ruellia caerulea","Britton's wild petunia, Mexican bluebell, Mexican petunia","Central America, North America-Mexico, South America",Forb/Herb,1941,Status Assessment,N/A,Invasive (No Uses),Invasive (No Uses),Invasive (No Uses),"Jan 1, 2010Jan 1, 2013",0,
Ruellia simplex (AZTEC PINK),Acanthaceae,Ruellia simplex 'R-16-1-1',Ruellia simplex (AZTEC PINK),Unknown,Forb/Herb,,Infraspecific Taxon Protocol,N/A,Caution,Caution,Caution,14-Dec-17,0,
Ruellia simplex (AZTEC PINK/WHITE),Acanthaceae,Ruellia simplex ‘R15-24-17’,Ruellia simplex AZTEC (PINK/WHITE),Unknown,Forb/Herb,,Infraspecific Taxon Protocol,N/A,Caution,Caution,Caution,14-Dec-17,0,
Ruellia simplex (AZTEC PURPLE),Acanthaceae,Ruellia simplex 'R-15-5-3',Ruellia simplex (AZTEC PURPLE),Unknown,Forb/Herb,,Infraspecific Taxon Protocol,N/A,Caution,Caution,Caution,14-Dec-17,0,
Ruellia simplex cv Purple Showers,Acanthaceae,,Ruellia Purple Showers,Unknown,Forb/Herb,,Infraspecific Taxon Protocol,N/A,Caution,Caution,Caution,1-Jan-10,0,
Ruellia simplex (MAYAN COMPACT PURPLE),Acanthaceae,Ruellia simplex ‘R12-2-1’,Mexican petunia (MAYAN COMPACT PURPLE),Unknown,Forb/Herb,,Infraspecific Taxon Protocol,N/A,Caution,Caution,Caution,1-Nov-16,0,
Ruellia simplex (MAYAN PINK),Acanthaceae,Ruellia simplex ‘R10-105-Q54’,Mexican petunia (MAYAN PINK),Unknown,Forb/Herb,,Infraspecific Taxon Protocol,N/A,Caution,Caution,Caution,"Nov 4, 2016Dec 14, 2017",0,
Ruellia simplex (MAYAN PURPLE),Acanthaceae,Ruellia simplex ‘R10-102’,Mexican petunia (MAYAN PURPLE),Unknown,Forb/Herb,,Infraspecific Taxon Protocol,N/A,Caution,Caution,Caution,"Jan 1, 2012Dec 14, 2017",31,
Ruellia simplex (MAYAN WHITE),Acanthaceae,Ruellia simplex ‘R10-108’,Mexican petunia (MAYAN WHITE),Unknown,Forb/Herb,,Infraspecific Taxon Protocol,N/A,Caution,Caution,Caution,"Jan 1, 2012Dec 14, 2017",0,
Rumex pulcher,Polygonaceae,,Fiddle dock,"Africa, Asia Temperate, Europe",Forb/Herb,,Predictive Tool,14,High Invasion Risk,High Invasion Risk,High Invasion Risk,"Jan 1, 2006Jan 1, 2008",20,
Rumohra adiantiformis,Dryopteridaceae,,"Leatherleaf fern, seven weeks fern","Africa, Asia Tropical, Australasia, Central America, South America",Forb/Herb,1977,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 21, 2015",7,
Russelia equisetiformis,Plantaginaceae,,"Coral plant, firecracker plant",North America-Mexico,Shrub,1958,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 21, 2015",10,
Saccharum officinarum,Poaceae,,Sugarcane,Unknown,Graminoid,,Predictive Tool,5,Low Invasion Risk,Low Invasion Risk,Low Invasion Risk,"Jan 1, 2006Jan 1, 2009",8,
Saccharum spontaneum,Poaceae,,"Wild sugarcane, Fodder cane, African fodder cane, Asian fodder cane","Africa, Asia Temperate, Asia Tropical, Europe",Graminoid,2005,,N/A,Prohibited,Prohibited,Prohibited,,5,
Salix babylonica,Salicaceae,,"Babylon weeping willow, weeping willow",Asia Temperate,Tree,,,N/A,,,,,1,
Salsola kali,Chenopodiaceae,Salsola pontica,"Russian thistle, common saltwort, prickly saltwort",Europe,Forb/Herb,,,N/A,,,,,0,
Salsola vermiculata,Chenopodiaceae,Salsola villosa,"Wormleaf salsa, shrubby Russian thistle, Damascus saltwort, Mediterranean saltwort","Africa, Asia Temperate, Europe","Shrub, Subshrub",,,N/A,Prohibited,Prohibited,Prohibited,,0,
Salvia farinacea,Lamiaceae,,"Blue salvia, mealycup sage",Unknown,Forb/Herb,1938,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Jul 17, 2017",3,
Salvia hispanica,Lamiaceae,,Chia,"Central America, North America-Mexico",Forb/Herb,,Predictive Tool,6,Low Invasion Risk,Low Invasion Risk,Low Invasion Risk,1-Jan-13,2,
Salvia splendens,Lamiaceae,,"Red salvia, scarlet sage, scarlet salvia",South America,"Forb/Herb, Subshrub",2003,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Jul 3, 2017",0,
Salvinia minima,Salviniaceae,,"Water spangles, Floating fern",South America,Aquatic,1935,Status Assessment,N/A,Invasive,Invasive,Invasive,1-Jan-11,45,
Salvinia molesta,Salviniaceae,,"Aquarium watermoss, giant salvinia, kariba weed",Unknown,Aquatic,1983,,N/A,Prohibited,Prohibited,Prohibited,,2,
Sansevieria cylindrica,Ruscaceae,,Snake plant,Africa,"Forb/Herb, Subshrub",1941,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Jul 7, 2017",1,
Sansevieria trifasciata,Ruscaceae,,"Snake plant, viper's bowstring hemp, mother-in-law's-tongue",Africa,"Forb/Herb, Subshrub",,Predictive Tool,11,High Invasion Risk,High Invasion Risk,High Invasion Risk,1-Jan-11,8,
Santalum album,Santalaceae,,"Sandalwood, white sandalwood","Asia Tropical, Australasia","Shrub, Tree",1971,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Nov 30, 2016",1,
Sasa kurilensis,Poaceae,"Arundinaria kurilensis, Bambusa kurilensis, Pseudosasa kurilensis",Dwarf bamboo,Asia Temperate,Graminoid,,Predictive Tool,9,High Invasion Risk,High Invasion Risk,High Invasion Risk,4-Nov-16,0,
Sasa palmata,Poaceae,"Arundinaria palmata, Bambusa palmata","dwarf bamboo, broadleaf bamboo, chimaki-zasa, sato-chimaki",Asia Temperate,Graminoid,,Predictive Tool,10,High Invasion Risk,High Invasion Risk,High Invasion Risk,4-Nov-16,0,
Scaevola taccada var sericea,Goodeniaceae,Scaevola taccada,"Beach naupaka, half-flower, scaevola","Africa, Asia Temperate, Asia Tropical, Australasia, Pacific",Shrub,1959,,N/A,Prohibited,Prohibited,Prohibited,,15,
Schefflera actinophylla ,Araliaceae,,"Australian umbrella tree, octopus tree, Queensland umbrella tree","Asia Tropical, Australasia",Tree,1936,Status Assessment,N/A,Not a problem species (un-documented),Invasive (No Uses),Invasive (No Uses),1-Jan-07,12,
Schefflera arboricola,Araliaceae,Heptapleurum arboricolum,"Dwarf schefflera, dwarf umbrellatree",Asia Temperate,Shrub,2002,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (documented),Not a problem species (un-documented),"Jan 1, 2007Jul 19, 2017",5,
Schinus terebinthifolia,Anacardiaceae,Schinus terebinthifolius,Brazilian pepper,South America,"Shrub, Tree",1936,,N/A,Prohibited,Prohibited,Prohibited,,0,
Scindapsus pictus,Araceae,,Silver pothos,Asia Tropical,"Forb/Herb, Vine",,Status Assessment,2,Low Invasion Risk,Low Invasion Risk,Low Invasion Risk,"Jan 1, 2006Nov 30, 2016",0,
Scleranthus annuus,Caryophyllaceae,,German knotgrass,"Africa, Asia Temperate, Europe",Forb/Herb,1983,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Nov 30, 2016",3,
Scleria eggersiana,Cyperaceae,"Scleria mitis subsp. eggersiana, Scleria grisebachii, Scleria microcarpa var. latifolia",Eggers nutrush,"Central America, South America",Graminoid,,,N/A,,,,,0,
Scleria lacustris,Cyperaceae,,"Lakeshore nutrush, Wright's nutrush","Africa, South America",Graminoid,1988,Status Assessment,N/A,Caution,Invasive (No Uses),Invasive (No Uses),"Jan 1, 2006Jan 1, 2012",14,
Secale cereale,Poaceae,,"Cereal rye, cultivated rye, rye","Asia Temperate, Asia Tropical, Europe",Graminoid,1964,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Nov 30, 2016",18,
Selaginella caulescens,Selaginellaceae,,Erect selaginella,"Asia Temperate, Asia Tropical",Forb/Herb,,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Nov 30, 2016",0,
Selaginella involvens,Selaginellaceae,Selaginella tamariscina,"Erect selaginella, tree spikemoss","Asia Temperate, Asia Tropical",Forb/Herb,,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Nov 30, 2016",0,
Selaginella uncinata,Selaginellaceae,,"Blue spikemoss, peacock spike-moss",Asia Temperate,Forb/Herb,1963,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 22, 2015",4,
Selaginella willdenowii,Selaginellaceae,,"Vine-spike moss, Willdenow's spikemoss",Asia Tropical,"Forb/Herb, Vine",1965,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (documented),"Jan 1, 2005May 22, 2015",1,
Selenicereus pteranthus,Cactaceae,Cereus pteranthus,"Princess-of-the-night, snake cactus",North America-Mexico,Shrub,1968,Status Assessment,N/A,Caution,Caution,Caution,"Jan 1, 2007Jan 1, 2012",11,
Semiarundinaria fastuosa,Poaceae,"Arundinaria fastuosa, Bambusa fastuosa, Phyllostachys fastuosa","Narihira bamboo, temple bamboo",Asia Temperate,Graminoid,,Predictive Tool,5,Evaluate Further,Evaluate Further,Evaluate Further,17-Mar-15,0,
Senna alata,Fabaceae,,"Candlestick plant, Emperor's candlesticks",South America,"Shrub, Subshrub, Tree",1964,Status Assessment,N/A,Caution,Caution,Caution,"Jan 1, 2005Jan 1, 2012",14,
Senna didymobotrya,Fabaceae,"Cassia didymobotrya, Chamaesenna didymobotrya","candelabra tree, peanut butter cassia",Africa,,,,N/A,,,,,0,
Senna obtusifolia,Fabaceae,Cassia obtusifolia,"Coffeeweed, java-bean, sicklepod","Central America, North America-Mexico, South America","Forb/Herb, Subshrub",1954,Status Assessment,N/A,Not a problem species (documented),Not a problem species (un-documented),Not a problem species (un-documented),1-Jan-07,50,
Senna occidentalis ,Fabaceae,Cassia occidentalis,"Coffee senna, septicweed","Central America, North America-Mexico, South America","Forb/Herb, Subshrub",1942,Status Assessment,N/A,Caution,Caution,Caution,"Jan 1, 2007Jan 1, 2012",50,
Senna pendula var glabrata,Fabaceae,,"Christmas cassia, Christmas senna, climbing cassia",South America,"Shrub, Tree, Vine",1937,Predictive Tool,21,High Invasion Risk,High Invasion Risk,High Invasion Risk,"Jan 1, 2004May 26, 2015",0,
Serissa foetida,Rubiaceae,Serissa japonica,Snow rose,"Asia Temperate, Asia Tropical",Shrub,,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 22, 2015",0,
Sesamum indicum,Pedaliaceae,"Sesamum orientale, Volkameria orientalis, Anthadenia sesamoides",Sesame,Africa,Forb/Herb,,Predictive Tool,3,Evaluate Further,Evaluate Further,Evaluate Further,17-Sep-15,7,
Sesbania grandiflora,Fabaceae,,"Scarlet Wisteria-Tree, Vegetable Hummingbird, West Indian-Pea",Unknown,"Shrub, Tree",,Predictive Tool,10,High Invasion Risk,High Invasion Risk,High Invasion Risk,1-Jan-12,1,
Sesbania punicea,Fabaceae,,"False-rattlebox, rattlebox",South America,"Forb/Herb, Subshrub",1897,Status Assessment,N/A,Caution,Invasive (No Uses),Invasive (No Uses),"Jan 1, 2005Jan 1, 2011Aug 12, 2014",47,
Sesbania sericea,Fabaceae,,"Papagayo, silky sesban","Africa, Asia Temperate, Asia Tropical","Forb/Herb, Subshrub",1951,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007May 5, 2017",4,
Setaria pallidefusca,Poaceae,"Setaria pumila, Setaria pumila ssp. pallidefusca",Cattail grass,"Africa, Asia Temperate, Asia Tropical, Europe, Pacific",Graminoid,,,N/A,Prohibited,Prohibited,Prohibited,,0,
Setaria setosa,Poaceae,,West Indian bristlegrass,South America,Graminoid,1997,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Dec 6, 2016",3,
Sherardia arvensis,Rubiaceae,,Blue fieldmadder,"Africa, Asia Temperate, Europe",Forb/Herb,2016,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Dec 6, 2016",5,
Sinocalamus latiflorus,Poaceae,Dendrocalamus latiflorus,Wideleaf bamboo,"Asia Temperate, Asia Tropical",Graminoid,,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007May 5, 2017",0,
Solanum diphyllum,Solanaceae,,"Amatillo, twinleaf nightshade, twoleaf nightshade","Central America, North America-Mexico","Shrub, Subshrub",1943,Status Assessment,N/A,Caution,Caution,Caution,"Jan 1, 2005Jan 1, 2012",20,
Solanum jamaicense,Solanaceae,,Jamaica nightshade,"Central America, North America-Mexico, South America",Vine,1993,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Dec 6, 2016",5,
Solanum tampicense  ,Solanaceae,Solanum houstonii,"Aquatic soda apple, wetland night shade","Central America, North America-Mexico, South America","Shrub, Tree, Vine",1974,,N/A,Prohibited,Prohibited,Prohibited,,6,
Solanum torvum,Solanaceae,,"Susumber, turkey berry","Central America, North America-Mexico, South America","Shrub, Subshrub, Tree",1899,,N/A,Prohibited,Prohibited,Prohibited,,10,
Solanum viarum,Solanaceae,,Tropical soda apple,South America,Subshrub,1988,,N/A,Prohibited,Prohibited,Prohibited,,46,
Sonchus oleraceus,Asteraceae,,"Annual sowthistle, common sowthistle, hare's lettuce","Africa, Asia Temperate, Asia Tropical, Europe",Forb/Herb,1846,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007May 5, 2017",51,
Sophora tomentosa var occidentalis,Fabaceae,,"Necklace-pod, silver-bush, yellow necklacepod",Unknown,"Shrub, Tree",1962,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007May 5, 2017",0,
Sorghum bicolor ssp. bicolor,Poaceae,,"Grain sorghum, Sorghum, Broomcorn",Unknown,Graminoid,,Predictive Tool,7,High Invasion Risk,High Invasion Risk,High Invasion Risk,"Jan 1, 2007Jan 1, 2009",0,
Sorghum bicolor ssp. drummondii,Poaceae,,Shattercane,Unknown,Graminoid,,Predictive Tool,18,High Invasion Risk,High Invasion Risk,High Invasion Risk,1-Jan-09,0,
Sorghum bicolor var sweet,Poaceae,,Sweet sorghum,Unknown,Graminoid,,Predictive Tool,2,Low Invasion Risk,Low Invasion Risk,Low Invasion Risk,1-Jan-09,0,
Sorghum bicolor x drummondii,Poaceae,,Sudangrass,Unknown,Graminoid,,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007May 5, 2017",26,
Sorghum halepense ,Poaceae,Sorghum miliaceum,Johnsongrass,"Africa, Asia Temperate, Asia Tropical",Graminoid,1896,Status Assessment,N/A,Caution,Caution,Caution,"Jan 1, 2007Jan 1, 2012",48,
Sparganium erectum,Sparganiaceae,,"Exotic bur-reed, branched bur-reed, simplestem bur-reed","Africa, Asia Temperate, Europe","Aquatic, Forb/Herb",,,N/A,Prohibited,Prohibited,Prohibited,,0,
Spathiphyllum clevelandii,Araceae,,Peace lily,"Central America, South America",Forb/Herb,,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Dec 6, 2016",0,
Spathodea campanulata,Bignoniaceae,,African Tuliptree,Africa,Tree,1930,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Caution,"Jan 1, 2007Jan 1, 2012",4,
Spermacoce verticillata,Rubiaceae,,Shrubby false buttonweed,"Central America, North America-Mexico, South America",Subshrub,1915,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),1-Jan-07,29,
Sphaeropteris cooperi,Cyatheaceae,Cyathea cooperi,"Australian tree fern, Cooper's cyathea",Australasia,Tree,2004,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (documented),1-Jan-07,1,
Sphagneticola trilobata ,Asteraceae,Wedelia triloba,Wedelia,"Central America, North America-Mexico, South America",Forb/Herb,1895,Status Assessment,N/A,Invasive,Invasive,Invasive (No Uses),"Jan 1, 2005May 22, 2015",35,
Spiraea cantoniensis,Rosaceae,,"Bridal-wreath, Reeve's spiraea, Reeves' meadowsweet",Asia Temperate,Shrub,2003,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 22, 2015",0,
Spiraea thunbergii,Rosaceae,,"Thunberg spirea, Thunberg's meadowsweet",Asia Temperate,Shrub,1993,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 22, 2015",0,
Sporobolus indicus,Poaceae,,"Smut grass, Smutgrass",Unknown,Graminoid,1903,Status Assessment,N/A,Caution,Caution,Caution,"Jan 1, 2007Jan 1, 2011Aug 18, 2014",59,
Stachytarpheta cayennensis  ,Verbenaceae,Stachytarpheta urticifolia,"Nettle-Leaf Porterweed, Nettleleaf Velvetberry","Central America, North America-Mexico, South America",Shrub,1975,Status Assessment,N/A,Caution,Caution,Caution,"Jan 1, 2006Jan 1, 2012",2,
Stapelia nobilis,Apocynaceae,Stapelia gigantea,"Carrion flower, Zulu giant",Africa,Forb/Herb,,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Jun 20, 2018",0,
Stellaria media,Caryophyllaceae,,Common chickweed,"Africa, Asia Temperate, Asia Tropical, Europe",Forb/Herb,,Predictive Tool,25,High Invasion Risk,High Invasion Risk,High Invasion Risk,"Jan 1, 2007Jan 1, 2008",35,
Stratiotes aloides,Hydrocharitaceae,,"Water aloe, soldier plant, water soldier","Asia Temperate, Europe",Aquatic,,,N/A,Prohibited,Prohibited,Prohibited,,0,
Syagrus romanzoffiana ,Arecaceae,,Queen palm,South America,Tree,1959,Status Assessment,N/A,Caution,Caution,Caution,"Jan 1, 2006Jan 1, 2012",8,
Synadenium grantii,Euphorbiaceae,Euphorbia umbellata,African milk bush,Africa,Forb/Herb,2005,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007May 5, 2017",0,
Syngonium podophyllum,Araceae,,Arrowhead vine,"Central America, North America-Mexico, South America",Vine,1927,Status Assessment,16,High Invasion Risk,High Invasion Risk,High Invasion Risk,"Jan 1, 2006Mar 20, 2017",23,
Syzygium cumini,Myrtaceae,,"Jambolan, Java plum","Africa, Asia Temperate, Asia Tropical",Tree,1934,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Invasive (No Uses),1-Jan-03,11,
Syzygium jambos,Myrtaceae,,"Malabar plum, Rose-apple",Unknown,Tree,1893,Status Assessment,N/A,Not a problem species (un-documented),Caution,Caution,"Jan 1, 2006Jan 1, 2012",8,
Tabebuia aurea,Bignoniaceae,,"Caribbean trumpettree, silver trumpet tree",South America,Tree,1930,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 26, 2015",2,
Tabebuia chrysotricha,Bignoniaceae,Handroanthus chrysotrichus,"Golden trumpet tree, yellow trumpet",South America,Tree,1988,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Nov 30, 2016",0,
Tabebuia heterophylla,Bignoniaceae,,"Pink trumpet tree, white cedar","Central America, South America","Shrub, Tree",1928,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 26, 2015",3,
Tabebuia impetiginosa,Bignoniaceae,Handroanthus impetiginosus,Purple trumpet tree,"Central America, North America-Mexico, South America",Tree,1988,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Nov 30, 2016",0,
